1,334313,https://gap.sp1.convertro.com/view/vt/v1/gap/1/cvo.gif?cvosrc=display.akqa.68543819&cvo_cid=9398102&cvo_pid=128302847&cvo_adid=300956079&cvo_crid=68543819
2,314925,https://ohlone.vizu.com/a.gif?vzcid=19761&vzadid=triplelift&vzsid=accuen&ord=RANDOM
3,328277,https://voken.eyereturn.com/pix?1132530
4,336421,https://servedby.flashtalking.com/imp/4/59564;1743167;201;pixel;ClearTrade;ClearTradeEngageNativeIMNonGoldRewardsSpringMustGetBlog1x1/?cachebuster=CACHEBUSTER
5,323676,http://ohlone.vizu.com/a.gif?vzcid=22747&vzadid=nativeunit&vzsid=triplelift&vzwc=none&ord=RANDOM
6,332210,https://servedby.flashtalking.com/imp/3/57070;1617398;201;pixel;Choicestream;1x1NativeBrandingWaystoSaveShrinkBillBTA2554GeotargetedJacksonvilleDMA/?cachebuster=${CACHEBUSTER}
7,327784,https://adfarm.mediaplex.com/ad/tr/24693-217020-26109-5?mpt=CACHEBUSTER&mpcs=bypass
8,334989,http://asdfljkl.com
9,336921,http://amp.mediaforge.com/link/sparta4490/3f209ca8-ef7f-11e5-847e-3bca27e6281b
10,334989,http://asdfljkl.com
11,334989,http://asdfljkl.com
12,334989,http://asdfljkl.com
13,337113,http://amp.mediaforge.com/link/polari4993/c76ac1a8-f135-11e5-88e4-13b07c93c565
14,332658,https://track.inpwrd.com/nap/v1/nap-track.php?genre=engagement&category=consume&subcategory=story&kind=article&placement=story_precis&asset=story.n2ih.f942fb496f45926ebf8f082aa0581474&site=on.triplelift.native&domain=DOMAIN&campaign=experts_51b5d204&creative=experts_51b30624&experienceID=CACHEBUSTER&ts=TIMESTAMP&redir=http%3A%2F%2Finpwrd.com%2Fread%3Fid%3D745897839%26categoryId%3D%26adId%3Dexperts_51b30624%26site%3Don.triplelift.native%26experienceId%3DCACHEBUSTER%26domain%3DDOMAIN
15,336987,http://servedby.flashtalking.com/imp/8/59504;1761071;201;pixel;TripleLift;TripleLiftContextualBranded1x1/?cachebuster=CACHEBUSTER
16,339066,http://servedby.flashtalking.com/imp/1/48750;1805955;201;pixel;MediaIQ;1x1NativeDesktop/?cachebuster=CACHEBUSTER
17,329081,http://servedby.flashtalking.com/imp/4/42262;1271001;201;redirect;AXM;ViatorViator2015AXMProgrammaticNativeDesktop2015RONJumping2BucketlistImagetextSSUS/?cachebuster=CACHEBUSTER&url=https://tagman.viator.com/viator/tman.cgi?tmad=i&tmcampid=55&tmtag=image
18,324245,http://log.dmtry.com/redir/1/2495/4052/954080/0/1/153/0/959/1.ver?at=i&d=PxImp&img=1
19,330771,http://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=13547223&PluID=0&ord=timestamp&rtu=-1
20,327632,https://api.choicestream.com/instr/crunch/apnxs/imp?au=${AUCTION_ID}&cr=${CREATIVE_ID}&li=${CPG_ID}&cp=${CP_ID}&uid=${USER_ID}&ecp=${ECP}&rp=${RESERVE_PRICE}&bid1=${BID_PRICE}&pr=${PRICE_PAID}&invs=${INV_SOURCE_ID}&pi=${TAG_ID}&vid=${VENUE_ID}&sid=${SELLER_MEMBER_ID}&ip=${USER_IP}&pc=${POSTAL_CODE}&dc=${DATACENTER}&city=${USER_CITY}&st=${USER_STATE}&ref=${REFERER_URL_ENC}&r=${CACHEBUSTER}
21,333190,http://ads.pointroll.com/PortalServe/?pid=2772935L12820160114175520&pos=i&r=RANDOM
22,331452,https://d.xp1.ru4.com/tad?_o=42032312&_t=dfa_%epid!&ssv_mmuid=%pmmuid=!;&ssv_mmaid=%pmmaid=!;&ssv_mmsid=%pmmsid=!;
Tactic ID,Impression Pixel,